time,open,high,low,close,volume
2025-10-02T21:10,6768.5,6775.25,6767.75,6772.75,5797.0
2025-10-02T22:10,6772.5,6777.75,6771.5,6774.75,5227.0
2025-10-02T23:10,6774.75,6778.25,6774.75,6777.5,3000.0
2025-10-03T00:10,6777.25,6781.5,6776.5,6780.0,3594.0
2025-10-03T01:10,6780.25,6783.0,6779.25,6782.0,3205.0
2025-10-03T02:10,6782.0,6784.25,6776.75,6781.0,4952.0
2025-10-03T03:10,6780.75,6785.75,6780.5,6783.5,8179.0
2025-10-03T04:10,6783.5,6785.25,6782.0,6784.0,9006.0
2025-10-03T05:10,6784.0,6785.5,6782.5,6784.25,7777.0
2025-10-03T06:10,6784.5,6787.5,6782.5,6785.5,8273.0
2025-10-03T07:10,6785.75,6786.0,6778.5,6779.5,6984.0
2025-10-03T08:10,6779.5,6780.0,6772.0,6775.75,15738.0
2025-10-03T09:10,6775.75,6776.5,6766.5,6769.0,20183.0
2025-10-03T10:10,6768.75,6788.25,6768.0,6778.75,173690.0
2025-10-03T11:10,6778.75,6795.5,6778.5,6790.75,161974.0
2025-10-03T12:10,6790.5,6799.75,6786.0,6798.5,114696.0
2025-10-03T13:10,6798.5,6800.0,6777.0,6787.5,143721.0
2025-10-03T14:10,6787.5,6787.5,6754.0,6765.5,231079.0
2025-10-03T15:10,6765.5,6779.75,6764.5,6771.25,148255.0
2025-10-03T16:10,6771.5,6775.5,6760.25,6761.75,212585.0
2025-10-05T18:10,6761.75,6773.75,6760.75,6772.5,15383.0
2025-10-05T19:10,6772.5,6778.5,6771.75,6777.25,5498.0
2025-10-05T20:10,6777.25,6783.5,6775.75,6778.75,8461.0
2025-10-05T21:10,6778.75,6779.25,6775.0,6777.5,4797.0
2025-10-05T22:10,6777.75,6780.5,6775.75,6780.25,3966.0
2025-10-05T23:10,6780.25,6785.0,6780.0,6784.5,3469.0
2025-10-06T00:10,6784.5,6785.5,6779.25,6784.0,4701.0
2025-10-06T01:10,6784.0,6787.5,6782.25,6782.25,3960.0
2025-10-06T02:10,6782.25,6783.5,6780.5,6782.5,3843.0
2025-10-06T03:10,6782.25,6785.75,6781.0,6784.0,8517.0
2025-10-06T04:10,6783.75,6784.75,6771.75,6782.5,18345.0
2025-10-06T05:10,6782.25,6783.75,6780.0,6783.25,8116.0
2025-10-06T06:10,6783.25,6789.75,6783.0,6787.5,8893.0
2025-10-06T07:10,6787.5,6793.75,6784.5,6785.75,18031.0
2025-10-06T08:10,6785.75,6794.0,6781.5,6792.5,18713.0
2025-10-06T09:10,6792.25,6792.75,6781.25,6786.0,30657.0
2025-10-06T10:10,6786.0,6790.25,6766.5,6775.0,202450.0
2025-10-06T11:10,6775.25,6784.25,6773.0,6781.0,143125.0
2025-10-06T12:10,6781.0,6791.75,6781.0,6786.25,101584.0
2025-10-06T13:10,6786.25,6791.25,6785.5,6788.25,65866.0
